cpu,case,family,dtype,atol,rtol,max_diff,max_tolerance_fraction,status
cortex-m55,gru_unidirectional_error_negative_hidden_size_f32,LSTMFunctions,FP32,5e-05,2e-05,,,PASS
cortex-m55,gru_unidirectional_error_negative_input_size_f16,LSTMFunctions,FP16,0.001,0.001,,,PASS
cortex-m55,gru_unidirectional_error_negative_input_size_f32,LSTMFunctions,FP32,5e-05,2e-05,,,PASS
cortex-m55,gru_unidirectional_error_negative_time_steps_f16,LSTMFunctions,FP16,0.001,0.001,,,PASS
cortex-m55,gru_unidirectional_error_negative_time_steps_f32,LSTMFunctions,FP32,5e-05,2e-05,,,PASS
cortex-m55,gru_unidirectional_error_null_input_f16,LSTMFunctions,FP16,0.001,0.001,,,PASS
cortex-m55,gru_unidirectional_error_null_input_f32,LSTMFunctions,FP32,5e-05,2e-05,,,PASS
cortex-m55,gru_unidirectional_error_null_output_f16,LSTMFunctions,FP16,0.001,0.001,,,PASS
cortex-m55,gru_unidirectional_error_null_output_f32,LSTMFunctions,FP32,5e-05,2e-05,,,PASS
cortex-m55,gru_unidirectional_error_null_params_f16,LSTMFunctions,FP16,0.001,0.001,,,PASS
cortex-m55,gru_unidirectional_error_null_params_f32,LSTMFunctions,FP32,5e-05,2e-05,,,PASS
cortex-m55,gru_unidirectional_error_stateful_batch_gt1_f16,LSTMFunctions,FP16,0.001,0.001,,,PASS
cortex-m55,gru_unidirectional_error_stateful_batch_gt1_f32,LSTMFunctions,FP32,5e-05,2e-05,,,PASS
cortex-m55,gru_unidirectional_error_zero_batch_size_f16,LSTMFunctions,FP16,0.001,0.001,,,PASS
cortex-m55,gru_unidirectional_error_zero_batch_size_f32,LSTMFunctions,FP32,5e-05,2e-05,,,PASS
cortex-m55,gru_unidirectional_float_batch_major_multi_batch_f16,LSTMFunctions,FP16,0.01,0.01,0.00537109375,0.382542,PASS
cortex-m55,gru_unidirectional_float_batch_major_multi_batch_f32,LSTMFunctions,FP32,5e-05,2e-05,1.9133091e-05,0.32727,PASS
cortex-m55,gru_unidirectional_float_pre_reset_f16,LSTMFunctions,FP16,0.01,0.01,0.000610351562,0.052378,PASS
cortex-m55,gru_unidirectional_float_pre_reset_f32,LSTMFunctions,FP32,5e-05,2e-05,8.74698162e-06,0.164082,PASS
